state size: (210, 160, 3)
action size: 9
/usr/local/lib/python3.5/dist-packages/skimage/transform/_warps.py:105: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
/usr/local/lib/python3.5/dist-packages/skimage/transform/_warps.py:110: UserWarning: Anti-aliasing will be enabled by default in skimage 0.15 to avoid aliasing artifacts when down-sampling images.
  warn("Anti-aliasing will be enabled by default in skimage 0.15 to "
global steps 11760 | score: 640.0
global steps 22040 | score: 510.0
global steps 33480 | score: 350.0
global steps 43200 | score: 340.0
global steps 53320 | score: 520.0
global steps 62440 | score: 400.0
global steps 76040 | score: 810.0
global steps 84720 | score: 350.0
global steps 96240 | score: 510.0
global steps 105680 | score: 260.0
global steps 117040 | score: 600.0
global steps 127320 | score: 490.0
global steps 137360 | score: 340.0
global steps 148200 | score: 590.0
global steps 157040 | score: 310.0
global steps 167680 | score: 400.0
global steps 176440 | score: 470.0
global steps 186080 | score: 460.0
global steps 193680 | score: 280.0
global steps 205360 | score: 630.0
global steps 213920 | score: 360.0
global steps 223640 | score: 450.0
global steps 232720 | score: 330.0
global steps 241680 | score: 230.0
global steps 250600 | score: 340.0
global steps 261400 | score: 470.0
global steps 271440 | score: 370.0
global steps 281400 | score: 400.0
global steps 294440 | score: 760.0
global steps 305560 | score: 550.0
global steps 317400 | score: 560.0
global steps 328640 | score: 600.0
global steps 344200 | score: 1090.0
global steps 354720 | score: 320.0
global steps 366160 | score: 600.0
global steps 376560 | score: 440.0
global steps 385440 | score: 360.0
global steps 395960 | score: 410.0
global steps 406960 | score: 430.0
global steps 416560 | score: 320.0
global steps 427080 | score: 370.0
global steps 437080 | score: 570.0
global steps 445920 | score: 360.0
global steps 457160 | score: 680.0
global steps 467720 | score: 400.0
global steps 478840 | score: 400.0
global steps 488280 | score: 300.0
global steps 498160 | score: 380.0
global steps 509840 | score: 610.0
global steps 522280 | score: 600.0
global steps 531720 | score: 320.0
global steps 542960 | score: 460.0
global steps 556880 | score: 620.0
global steps 566520 | score: 360.0
global steps 577240 | score: 270.0
global steps 587320 | score: 360.0
global steps 597080 | score: 310.0
global steps 605640 | score: 330.0
global steps 614360 | score: 340.0
global steps 625360 | score: 440.0
global steps 636320 | score: 480.0
global steps 645960 | score: 330.0
global steps 656720 | score: 450.0
global steps 667120 | score: 340.0
global steps 678800 | score: 470.0
global steps 689200 | score: 410.0
global steps 698840 | score: 300.0
global steps 708520 | score: 430.0
global steps 721920 | score: 530.0
global steps 736680 | score: 470.0
global steps 749440 | score: 530.0
global steps 758080 | score: 270.0
global steps 769000 | score: 540.0
global steps 777960 | score: 380.0
global steps 791840 | score: 850.0
global steps 799880 | score: 240.0
global steps 809320 | score: 440.0
